"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
200,3,0.01,0,1,1,0.6,3.2562540017649,2.21160997663225
250,3,0.01,0,1,1,0.6,3.09313721383179,2.10250908987863
50,6,0.01,0,1,1,0.6,3.79675612287836,2.73397827148438
150,6,0.01,0,1,1,0.6,3.40120332311437,2.34690693446568
200,6,0.01,0,1,1,0.6,3.22914846533009,2.13675471714565
250,6,0.01,0,1,1,0.6,3.11168204629977,2.06668472290039
50,9,0.01,0,1,1,0.6,3.8148846740039,2.74751935686384
150,9,0.01,0,1,1,0.6,3.37775656888121,2.30777631487165
200,9,0.01,0,1,1,0.6,3.18450481882801,2.13102613176618
250,9,0.01,0,1,1,0.6,3.11729937759449,2.071227482387
50,3,0.05,0,1,1,0.6,3.14022067860676,2.14412198747907
150,3,0.05,0,1,1,0.6,2.51536345836766,1.74773461478097
200,3,0.05,0,1,1,0.6,2.58798513287142,2.02566637311663
250,3,0.05,0,1,1,0.6,2.55122172337585,2.09209660121373
50,6,0.05,0,1,1,0.6,3.04191339398434,2.1063722882952
150,6,0.05,0,1,1,0.6,2.72533823391065,2.07185908726283
200,6,0.05,0,1,1,0.6,2.65058223861545,1.93419538225446
250,6,0.05,0,1,1,0.6,2.6701282960089,2.0369028363909
50,9,0.05,0,1,1,0.6,3.09698172503664,2.0742667061942
150,9,0.05,0,1,1,0.6,2.60040286330982,1.88335200718471
200,9,0.05,0,1,1,0.6,2.70957589669396,2.06930106026786
250,9,0.05,0,1,1,0.6,2.54140837679635,1.94593375069754
50,3,0.1,0,1,1,0.6,2.70000121580374,1.89656012398856
150,3,0.1,0,1,1,0.6,3.06125552399169,2.54234041486468
200,3,0.1,0,1,1,0.6,3.27820913144988,2.67347390311105
250,3,0.1,0,1,1,0.6,2.96244257766392,2.52859987531389
50,6,0.1,0,1,1,0.6,2.8194583851246,2.10138811383929
150,6,0.1,0,1,1,0.6,2.90380728570273,2.16740689958845
200,6,0.1,0,1,1,0.6,2.84965032006127,2.31391198294503
250,6,0.1,0,1,1,0.6,2.92387893858249,2.15053503853934
50,9,0.1,0,1,1,0.6,2.85689863444781,2.02852521623884
150,9,0.1,0,1,1,0.6,2.8056743054829,2.03186743600028
200,9,0.1,0,1,1,0.6,3.17924837377664,2.69070325578962
250,9,0.1,0,1,1,0.6,2.81792101211817,2.23068291800363
50,3,0.01,0,3,1,0.6,3.85063684824532,2.76437541416713
150,3,0.01,0,3,1,0.6,3.4684356369397,2.39604895455497
200,3,0.01,0,3,1,0.6,3.29645395579474,2.25905881609236
250,3,0.01,0,3,1,0.6,3.18728175589812,2.19935553414481
50,6,0.01,0,3,1,0.6,3.82380757335963,2.74394662039621
150,6,0.01,0,3,1,0.6,3.42031925114311,2.34661429268973
200,6,0.01,0,3,1,0.6,3.24836636764052,2.22746767316546
250,6,0.01,0,3,1,0.6,3.16292745852192,2.15212903703962
50,9,0.01,0,3,1,0.6,3.82418594957194,2.74137932913644
150,9,0.01,0,3,1,0.6,3.45091078232601,2.35226603916713
200,9,0.01,0,3,1,0.6,3.27808202190119,2.22869600568499
