"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
250,6,0.05,0,5,0.8,0.6,4.10689576826445,3.48677335466657
50,9,0.05,0,5,0.8,0.6,6.64033308123179,5.17051424298968
150,9,0.05,0,5,0.8,0.6,5.03197045838558,4.21972111293248
200,9,0.05,0,5,0.8,0.6,4.57626696344362,3.85431725638253
250,9,0.05,0,5,0.8,0.6,4.03197519627593,3.4675282069615
50,3,0.1,0,5,0.8,0.6,5.7369714272774,4.5408935546875
150,3,0.1,0,5,0.8,0.6,4.09680946832229,3.47594833374023
200,3,0.1,0,5,0.8,0.6,4.06710203988772,3.42451313563756
250,3,0.1,0,5,0.8,0.6,3.55896644148526,2.97634288242885
50,6,0.1,0,5,0.8,0.6,5.67176621209223,4.44999749319894
150,6,0.1,0,5,0.8,0.6,4.18076487546125,3.65230451311384
200,6,0.1,0,5,0.8,0.6,3.8719480011875,3.12944030761719
250,6,0.1,0,5,0.8,0.6,3.60950294421972,2.89621244158064
50,9,0.1,0,5,0.8,0.6,5.75124358134169,4.57977948869978
150,9,0.1,0,5,0.8,0.6,3.84957284598384,3.22921098981585
200,9,0.1,0,5,0.8,0.6,3.86328216026379,3.22580228533064
250,9,0.1,0,5,0.8,0.6,4.06922640236229,3.14696339198521
50,3,0.01,0,1,1,0.6,7.61033019685232,5.89713614327567
150,3,0.01,0,1,1,0.6,7.07761322237675,5.47364589146205
200,3,0.01,0,1,1,0.6,6.84123916411562,5.29732840401786
250,3,0.01,0,1,1,0.6,6.58634657094685,5.09350095476423
50,6,0.01,0,1,1,0.6,7.60336201946441,5.88686043875558
150,6,0.01,0,1,1,0.6,7.06068312216867,5.43660954066685
200,6,0.01,0,1,1,0.6,6.76988529444207,5.20752498081752
250,6,0.01,0,1,1,0.6,6.55030806486456,5.06688962663923
50,9,0.01,0,1,1,0.6,7.60093190665683,5.88254111153739
150,9,0.01,0,1,1,0.6,7.04128611528707,5.41443579537528
200,9,0.01,0,1,1,0.6,6.7984759124415,5.23862293788365
250,9,0.01,0,1,1,0.6,6.57645566241347,5.08985137939453
50,3,0.05,0,1,1,0.6,6.57078758136393,5.07895333426339
150,3,0.05,0,1,1,0.6,5.01987088769481,4.30710056849888
200,3,0.05,0,1,1,0.6,4.46104709347936,3.81594358171736
250,3,0.05,0,1,1,0.6,4.02411776191014,3.52546964372907
50,6,0.05,0,1,1,0.6,6.51382163496735,5.0307366507394
150,6,0.05,0,1,1,0.6,5.17995228273439,4.54376983642578
200,6,0.05,0,1,1,0.6,4.78923531519334,4.28333009992327
250,6,0.05,0,1,1,0.6,4.23527362840414,3.69603783743722
50,9,0.05,0,1,1,0.6,6.56156455506407,5.09847640991211
150,9,0.05,0,1,1,0.6,5.01681656545132,4.36365563528878
200,9,0.05,0,1,1,0.6,4.8252554218985,4.2380120413644
250,9,0.05,0,1,1,0.6,4.25592682416623,3.66973168509347
50,3,0.1,0,1,1,0.6,5.68805739558698,4.71761866978237
150,3,0.1,0,1,1,0.6,3.94163904710245,3.40981837681362
200,3,0.1,0,1,1,0.6,3.8440037725867,3.55025318690709
250,3,0.1,0,1,1,0.6,4.48273907129923,3.87390572684152
50,6,0.1,0,1,1,0.6,5.66471946411162,4.6486576625279
150,6,0.1,0,1,1,0.6,4.43156846157508,3.86409323556083
200,6,0.1,0,1,1,0.6,4.55360539300426,4.02250671386719
250,6,0.1,0,1,1,0.6,4.73003673179301,4.02837153843471
50,9,0.1,0,1,1,0.6,5.69695721546235,4.77903039114816
150,9,0.1,0,1,1,0.6,4.56215626004459,4.12548773629325
200,9,0.1,0,1,1,0.6,4.29144036998996,3.94779586791992
250,9,0.1,0,1,1,0.6,4.4772969269949,3.99512318202427
50,3,0.01,0,3,1,0.6,7.63012120922436,5.90725326538086
150,3,0.01,0,3,1,0.6,7.11482266267157,5.49311665126256
200,3,0.01,0,3,1,0.6,6.88454088505758,5.30740901402065
250,3,0.01,0,3,1,0.6,6.68400723520936,5.17304447719029
50,6,0.01,0,3,1,0.6,7.61881625031589,5.90361077444894
150,6,0.01,0,3,1,0.6,7.09263794677886,5.48017120361328
200,6,0.01,0,3,1,0.6,6.82325292445014,5.26277814592634
250,6,0.01,0,3,1,0.6,6.62229065663939,5.12028884887695
50,9,0.01,0,3,1,0.6,7.62139372789506,5.90508106776646
150,9,0.01,0,3,1,0.6,7.10299962691242,5.47761699131557
200,9,0.01,0,3,1,0.6,6.85379167815493,5.28718130929129
250,9,0.01,0,3,1,0.6,6.6328384123002,5.13589150565011
50,3,0.05,0,3,1,0.6,6.67311429099875,5.15231214250837
150,3,0.05,0,3,1,0.6,5.01836130666617,4.28477913992746
200,3,0.05,0,3,1,0.6,4.41925753979199,3.79318291800363
250,3,0.05,0,3,1,0.6,4.16471467142127,3.58614022391183
50,6,0.05,0,3,1,0.6,6.62874643031662,5.11461639404297
150,6,0.05,0,3,1,0.6,5.00375898508678,4.19185311453683
200,6,0.05,0,3,1,0.6,4.52838226650632,3.86414119175502
250,6,0.05,0,3,1,0.6,4.40780748207858,3.83534022739955
50,9,0.05,0,3,1,0.6,6.63565029886064,5.14115415300642
150,9,0.05,0,3,1,0.6,5.08119857108754,4.36774117606027
200,9,0.05,0,3,1,0.6,4.46827051287411,4.00182015555246
250,9,0.05,0,3,1,0.6,4.41053431505303,3.81686455862863
50,3,0.1,0,3,1,0.6,5.85354987395662,4.8372917175293
150,3,0.1,0,3,1,0.6,4.30490971570386,3.76304789951869
200,3,0.1,0,3,1,0.6,4.01460126508803,3.41282272338867
250,3,0.1,0,3,1,0.6,3.72651376762489,3.12721688406808
50,6,0.1,0,3,1,0.6,5.65720879981651,4.59014075142997
150,6,0.1,0,3,1,0.6,4.40902563063148,3.75542994907924
200,6,0.1,0,3,1,0.6,4.45716069683308,4.05826786586216
250,6,0.1,0,3,1,0.6,4.33459259820642,3.7478882925851
50,9,0.1,0,3,1,0.6,5.81745670160711,4.85886928013393
150,9,0.1,0,3,1,0.6,4.32072189735635,3.59956632341657
200,9,0.1,0,3,1,0.6,4.01503155892387,3.44275883265904
250,9,0.1,0,3,1,0.6,4.57619228680421,3.94591413225446
50,3,0.01,0,5,1,0.6,7.62775894642388,5.90892137799944
150,3,0.01,0,5,1,0.6,7.10969683522058,5.47577503749302
200,3,0.01,0,5,1,0.6,6.86877502898106,5.29628699166434
250,3,0.01,0,5,1,0.6,6.64661093697744,5.13142613002232
50,6,0.01,0,5,1,0.6,7.6167163455536,5.90030670166016
150,6,0.01,0,5,1,0.6,7.0840538280862,5.45918818882534
200,6,0.01,0,5,1,0.6,6.83788013856563,5.28353227887835
250,6,0.01,0,5,1,0.6,6.62128222244169,5.12203162057059
50,9,0.01,0,5,1,0.6,7.62039599977181,5.89680862426758
150,9,0.01,0,5,1,0.6,7.08682454810766,5.46289716448103
200,9,0.01,0,5,1,0.6,6.84990199104137,5.30361230032785
250,9,0.01,0,5,1,0.6,6.61323030253811,5.11869812011719
50,3,0.05,0,5,1,0.6,6.65385893425386,5.11944471086775
150,3,0.05,0,5,1,0.6,4.87763803267141,4.15450995309012
200,3,0.05,0,5,1,0.6,4.35607826329913,3.83291299002511
250,3,0.05,0,5,1,0.6,4.11735600992089,3.59045083182199
50,6,0.05,0,5,1,0.6,6.59535686044682,5.08752059936523
150,6,0.05,0,5,1,0.6,4.995776409781,4.25011880057199
200,6,0.05,0,5,1,0.6,4.44038267088997,3.81956972394671
250,6,0.05,0,5,1,0.6,3.96626371025196,3.44990430559431
50,9,0.05,0,5,1,0.6,6.58523202927956,5.08759689331055
150,9,0.05,0,5,1,0.6,4.93137527564545,4.17078236171177
200,9,0.05,0,5,1,0.6,4.35576523965239,3.75025939941406
250,9,0.05,0,5,1,0.6,4.13039279225746,3.63603700910296
50,3,0.1,0,5,1,0.6,5.74563282164272,4.67262595040458
150,3,0.1,0,5,1,0.6,3.88699267924173,3.49905014038086
200,3,0.1,0,5,1,0.6,3.89508119468155,3.36347198486328
